26-08-20 15:24:52.682 [restartedMain] INFO  c.Aether.Journal.JournalApplication --> Starting JournalApplication using Java 23.0.1 with PID 41018 (/Users/aethers/Documents/Project/Journal/target/classes started by aethers in /Users/aethers/Documents/Project/Journal) 
26-08-20 15:24:52.683 [restartedMain] INFO  c.Aether.Journal.JournalApplication --> The following 1 profile is active: "prod" 
26-08-20 15:24:52.709 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor --> Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
26-08-20 15:24:52.709 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor --> For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
26-08-20 15:24:52.973 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate --> Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
26-08-20 15:24:52.996 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate --> Finished Spring Data repository scanning in 20 ms. Found 2 MongoDB repository interfaces. 
26-08-20 15:24:53.180 [restartedMain] INFO  o.s.boot.tomcat.TomcatWebServer --> Tomcat initialized with port 8010 (http) 
26-08-20 15:24:53.186 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol --> Initializing ProtocolHandler ["http-nio-8010"] 
26-08-20 15:24:53.187 [restartedMain] INFO  o.a.catalina.core.StandardService --> Starting service [Tomcat] 
26-08-20 15:24:53.188 [restartedMain] INFO  o.a.catalina.core.StandardEngine --> Starting Servlet engine: [Apache Tomcat/11.0.22] 
26-08-20 15:24:53.202 [restartedMain] INFO  o.s.b.w.c.s.WebApplicationContextInitializer --> Root WebApplicationContext: initialization completed in 492 ms 
26-08-20 15:24:53.306 [restartedMain] INFO  org.mongodb.driver.client --> MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|spring-boot|sync", "version": "5.6.5"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "aarch64", "version": "26.5.2"}, "platform": "Java/Oracle Corporation/23.0.1+11-39"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='ak04238_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@452df670, com.mongodb.Jep395RecordCodecProvider@40964c5b, com.mongodb.KotlinCodecProvider@22e8b91f, EnumCodecProvider{}]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.pzfq9mh.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-8lg1uo-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=UNSPECIFIED, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null} 
26-08-20 15:24:53.317 [cluster-ClusterId{value='6a86ceed2600726fad5a9032', description='Cluster0'}-srv-cluster0.pzfq9mh.mongodb.net] INFO  org.mongodb.driver.cluster --> Adding discovered server ac-0gkgaqh-shard-00-00.pzfq9mh.mongodb.net:27017 to client view of cluster 
26-08-20 15:24:53.328 [cluster-ClusterId{value='6a86ceed2600726fad5a9032', description='Cluster0'}-srv-cluster0.pzfq9mh.mongodb.net] INFO  org.mongodb.driver.cluster --> Adding discovered server ac-0gkgaqh-shard-00-01.pzfq9mh.mongodb.net:27017 to client view of cluster 
26-08-20 15:24:53.329 [cluster-ClusterId{value='6a86ceed2600726fad5a9032', description='Cluster0'}-srv-cluster0.pzfq9mh.mongodb.net] INFO  org.mongodb.driver.cluster --> Adding discovered server ac-0gkgaqh-shard-00-02.pzfq9mh.mongodb.net:27017 to client view of cluster 
26-08-20 15:24:53.411 [restartedMain] DEBUG o.s.d.m.c.i.MongoPersistentEntityIndexCreator --> Analyzing class class com.Aether.Journal.entity.JournalEntry for index information 
26-08-20 15:24:53.414 [restartedMain] DEBUG o.s.d.m.c.i.MongoPersistentEntityIndexCreator --> Analyzing class class com.Aether.Journal.entity.User for index information 
26-08-20 15:24:53.431 [restartedMain] INFO  org.mongodb.driver.cluster --> Waiting for server to become available for operation createIndexes with ID 5. Remaining time: 29997 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-0gkgaqh-shard-00-01.pzfq9mh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-0gkgaqh-shard-00-02.pzfq9mh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-0gkgaqh-shard-00-00.pzfq9mh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]. 
26-08-20 15:24:53.653 [cluster-ClusterId{value='6a86ceed2600726fad5a9032', description='Cluster0'}-ac-0gkgaqh-shard-00-00.pzfq9mh.mongodb.net:27017] INFO  org.mongodb.driver.cluster --> Monitor thread successfully connected to server with description ServerDescription{address=ac-0gkgaqh-shard-00-00.pzfq9mh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=207873625, minRoundTripTimeNanos=0, setName='atlas-8lg1uo-shard-0', canonicalAddress=ac-0gkgaqh-shard-00-00.pzfq9mh.mongodb.net:27017, hosts=[ac-0gkgaqh-shard-00-00.pzfq9mh.mongodb.net:27017, ac-0gkgaqh-shard-00-02.pzfq9mh.mongodb.net:27017, ac-0gkgaqh-shard-00-01.pzfq9mh.mongodb.net:27017], passives=[], arbiters=[], primary='ac-0gkgaqh-shard-00-01.pzfq9mh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=255, topologyVersion=TopologyVersion{processId=6a7b493967955673806b911f, counter=10}, lastWriteDate=Thu Aug 20 15:24:53 IST 2026, lastUpdateTimeNanos=1137214094945541} 
26-08-20 15:24:53.676 [cluster-ClusterId{value='6a86ceed2600726fad5a9032', description='Cluster0'}-ac-0gkgaqh-shard-00-01.pzfq9mh.mongodb.net:27017] INFO  org.mongodb.driver.cluster --> Monitor thread successfully connected to server with description ServerDescription{address=ac-0gkgaqh-shard-00-01.pzfq9mh.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=206890292, minRoundTripTimeNanos=0, setName='atlas-8lg1uo-shard-0', canonicalAddress=ac-0gkgaqh-shard-00-01.pzfq9mh.mongodb.net:27017, hosts=[ac-0gkgaqh-shard-00-00.pzfq9mh.mongodb.net:27017, ac-0gkgaqh-shard-00-02.pzfq9mh.mongodb.net:27017, ac-0gkgaqh-shard-00-01.pzfq9mh.mongodb.net:27017], passives=[], arbiters=[], primary='ac-0gkgaqh-shard-00-01.pzfq9mh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000119, setVersion=255, topologyVersion=TopologyVersion{processId=6a7b4c40d56569486a2525a6, counter=10}, lastWriteDate=Thu Aug 20 15:24:53 IST 2026, lastUpdateTimeNanos=1137214118715000} 
26-08-20 15:24:53.676 [cluster-ClusterId{value='6a86ceed2600726fad5a9032', description='Cluster0'}-ac-0gkgaqh-shard-00-02.pzfq9mh.mongodb.net:27017] INFO  org.mongodb.driver.cluster --> Monitor thread successfully connected to server with description ServerDescription{address=ac-0gkgaqh-shard-00-02.pzfq9mh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=206966708, minRoundTripTimeNanos=0, setName='atlas-8lg1uo-shard-0', canonicalAddress=ac-0gkgaqh-shard-00-02.pzfq9mh.mongodb.net:27017, hosts=[ac-0gkgaqh-shard-00-00.pzfq9mh.mongodb.net:27017, ac-0gkgaqh-shard-00-02.pzfq9mh.mongodb.net:27017, ac-0gkgaqh-shard-00-01.pzfq9mh.mongodb.net:27017], passives=[], arbiters=[], primary='ac-0gkgaqh-shard-00-01.pzfq9mh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=255, topologyVersion=TopologyVersion{processId=6a7b4ed21a6584325dd9fdd6, counter=5}, lastWriteDate=Thu Aug 20 15:24:53 IST 2026, lastUpdateTimeNanos=1137214118715041} 
26-08-20 15:24:53.676 [cluster-ClusterId{value='6a86ceed2600726fad5a9032', description='Cluster0'}-ac-0gkgaqh-shard-00-01.pzfq9mh.mongodb.net:27017] INFO  org.mongodb.driver.cluster --> Discovered replica set primary ac-0gkgaqh-shard-00-01.pzfq9mh.mongodb.net:27017 with max election id 7fffffff0000000000000119 and max set version 255 
26-08-20 15:24:54.205 [restartedMain] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer --> Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl 
26-08-20 15:24:54.341 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol --> Starting ProtocolHandler ["http-nio-8010"] 
26-08-20 15:24:54.345 [restartedMain] INFO  o.s.boot.tomcat.TomcatWebServer --> Tomcat started on port 8010 (http) with context path '/' 
26-08-20 15:24:54.348 [restartedMain] INFO  c.Aether.Journal.JournalApplication --> Started JournalApplication in 1.841 seconds (process running for 2.317) 
